SNR;MCS;TBS;rate;err0;trials0;err1;trials1;err2;trials2;err3;trials3;dci_err
-9;8;9924;1.1758;1495;1500;0;0;0;0;0;0;0
-8.9;8;9924;1.1758;1489;1500;0;0;0;0;0;0;0
-8.8;8;9924;1.1758;1482;1500;0;0;0;0;0;0;0
-8.7;8;9924;1.1758;1475;1500;0;0;0;0;0;0;0
-8.6;8;9924;1.1758;1468;1500;0;0;0;0;0;0;0
-8.5;8;9924;1.1758;1462;1500;0;0;0;0;0;0;0
-8.4;8;9924;1.1758;1455;1500;0;0;0;0;0;0;0
-8.3;8;9924;1.1758;1449;1500;0;0;0;0;0;0;0
-8.2;8;9924;1.1758;1442;1500;0;0;0;0;0;0;0
-8.1;8;9924;1.1758;1436;1500;0;0;0;0;0;0;0
-8;8;9924;1.1758;1429;1500;0;0;0;0;0;0;0
-7.9;8;9924;1.1758;1423;1500;0;0;0;0;0;0;0
-7.8;8;9924;1.1758;1416;1500;0;0;0;0;0;0;0
-7.7;8;9924;1.1758;1410;1500;0;0;0;0;0;0;0
-7.6;8;9924;1.1758;1404;1500;0;0;0;0;0;0;0
-7.5;8;9924;1.1758;1397;1500;0;0;0;0;0;0;0
-7.4;8;9924;1.1758;1391;1500;0;0;0;0;0;0;0
-7.3;8;9924;1.1758;1385;1500;0;0;0;0;0;0;0
-7.2;8;9924;1.1758;1378;1500;0;0;0;0;0;0;0
-7.1;8;9924;1.1758;1372;1500;0;0;0;0;0;0;0
-7;8;9924;1.1758;1366;1500;0;0;0;0;0;0;0
-6.9;8;9924;1.1758;1360;1500;0;0;0;0;0;0;0
-6.8;8;9924;1.1758;1354;1500;0;0;0;0;0;0;0
-6.7;8;9924;1.1758;1348;1500;0;0;0;0;0;0;0
-6.6;8;9924;1.1758;1342;1500;0;0;0;0;0;0;0
-6.5;8;9924;1.1758;1335;1500;0;0;0;0;0;0;0
-6.4;8;9924;1.1758;1329;1500;0;0;0;0;0;0;0
-6.3;8;9924;1.1758;1323;1500;0;0;0;0;0;0;0
-6.2;8;9924;1.1758;1317;1500;0;0;0;0;0;0;0
-6.1;8;9924;1.1758;1312;1500;0;0;0;0;0;0;0
-6;8;9924;1.1758;1306;1500;0;0;0;0;0;0;0
-5.9;8;9924;1.1758;1293;1500;0;0;0;0;0;0;0
-5.8;8;9924;1.1758;1280;1500;0;0;0;0;0;0;0
-5.7;8;9924;1.1758;1268;1500;0;0;0;0;0;0;0
-5.6;8;9924;1.1758;1256;1500;0;0;0;0;0;0;0
-5.5;8;9924;1.1758;1244;1500;0;0;0;0;0;0;0
-5.4;8;9924;1.1758;1232;1500;0;0;0;0;0;0;0
-5.3;8;9924;1.1758;1220;1500;0;0;0;0;0;0;0
-5.2;8;9924;1.1758;1208;1500;0;0;0;0;0;0;0
-5.1;8;9924;1.1758;1196;1500;0;0;0;0;0;0;0
-5;8;9924;1.1758;1185;1500;0;0;0;0;0;0;0
-4.9;8;9924;1.1758;1173;1500;0;0;0;0;0;0;0
-4.8;8;9924;1.1758;1162;1500;0;0;0;0;0;0;0
