SNR;MCS;TBS;rate;err0;trials0;err1;trials1;err2;trials2;err3;trials3;dci_err
3;10;10504;1.3281;1500;1500;0;0;0;0;0;0;0
3.1;10;10504;1.3281;1500;1500;0;0;0;0;0;0;0
3.2;10;10504;1.3281;1500;1500;0;0;0;0;0;0;0
3.3;10;10504;1.3281;1500;1500;0;0;0;0;0;0;0
3.4;10;10504;1.3281;1500;1500;0;0;0;0;0;0;0
3.5;10;10504;1.3281;1500;1500;0;0;0;0;0;0;0
3.6;10;10504;1.3281;1500;1500;0;0;0;0;0;0;0
3.7;10;10504;1.3281;1500;1500;0;0;0;0;0;0;0
3.8;10;10504;1.3281;1500;1500;0;0;0;0;0;0;0
3.9;10;10504;1.3281;1500;1500;0;0;0;0;0;0;0
4;10;10504;1.3281;1500;1500;0;0;0;0;0;0;0
4.1;10;10504;1.3281;1500;1500;0;0;0;0;0;0;0
4.2;10;10504;1.3281;1500;1500;0;0;0;0;0;0;0
4.3;10;10504;1.3281;1500;1500;0;0;0;0;0;0;0
4.4;10;10504;1.3281;1500;1500;0;0;0;0;0;0;0
4.5;10;10504;1.3281;1500;1500;0;0;0;0;0;0;0
4.6;10;10504;1.3281;1500;1500;0;0;0;0;0;0;0
4.7;10;10504;1.3281;1500;1500;0;0;0;0;0;0;0
4.8;10;10504;1.3281;1500;1500;0;0;0;0;0;0;0
4.9;10;10504;1.3281;1500;1500;0;0;0;0;0;0;0
5;10;10504;1.3281;1500;1500;0;0;0;0;0;0;0
5.1;10;10504;1.3281;1454;1500;0;0;0;0;0;0;0
5.2;10;10504;1.3281;1410;1500;0;0;0;0;0;0;0
5.3;10;10504;1.3281;1367;1500;0;0;0;0;0;0;0
5.4;10;10504;1.3281;1325;1500;0;0;0;0;0;0;0
5.5;10;10504;1.3281;1285;1500;0;0;0;0;0;0;0
5.6;10;10504;1.3281;1026;1500;0;0;0;0;0;0;0
5.7;10;10504;1.3281;819;1500;0;0;0;0;0;0;0
5.8;10;10504;1.3281;654;1500;0;0;0;0;0;0;0
5.9;10;10504;1.3281;522;1500;0;0;0;0;0;0;0
6;10;10504;1.3281;417;1500;0;0;0;0;0;0;0
6.1;10;10504;1.3281;309;1500;0;0;0;0;0;0;0
6.2;10;10504;1.3281;229;1500;0;0;0;0;0;0;0
6.3;10;10504;1.3281;169;1500;0;0;0;0;0;0;0
6.4;10;10504;1.3281;125;1500;0;0;0;0;0;0;0
6.5;10;10504;1.3281;93;1500;0;0;0;0;0;0;0
6.6;10;10504;1.3281;64;1500;0;0;0;0;0;0;0
6.7;10;10504;1.3281;44;1500;0;0;0;0;0;0;0
6.8;10;10504;1.3281;31;1500;0;0;0;0;0;0;0
6.9;10;10504;1.3281;21;1500;0;0;0;0;0;0;0
7;10;10504;1.3281;15;1500;0;0;0;0;0;0;0
7.1;10;10504;1.3281;7;1500;0;0;0;0;0;0;0
7.2;10;10504;1.3281;3;1500;0;0;0;0;0;0;0
7.3;10;10504;1.3281;1;1500;0;0;0;0;0;0;0
7.4;10;10504;1.3281;1;1500;0;0;0;0;0;0;0
7.5;10;10504;1.3281;0;1500;0;0;0;0;0;0;0
7.6;10;10504;1.3281;0;1500;0;0;0;0;0;0;0
7.7;10;10504;1.3281;0;1500;0;0;0;0;0;0;0
7.8;10;10504;1.3281;0;1500;0;0;0;0;0;0;0
7.9;10;10504;1.3281;0;1500;0;0;0;0;0;0;0
8;10;10504;1.3281;0;1500;0;0;0;0;0;0;0
8.1;10;10504;1.3281;0;1500;0;0;0;0;0;0;0
8.2;10;10504;1.3281;0;1500;0;0;0;0;0;0;0
8.3;10;10504;1.3281;0;1500;0;0;0;0;0;0;0
8.4;10;10504;1.3281;0;1500;0;0;0;0;0;0;0
8.5;10;10504;1.3281;0;1500;0;0;0;0;0;0;0
8.6;10;10504;1.3281;0;1500;0;0;0;0;0;0;0
8.7;10;10504;1.3281;0;1500;0;0;0;0;0;0;0
8.8;10;10504;1.3281;0;1500;0;0;0;0;0;0;0
8.9;10;10504;1.3281;0;1500;0;0;0;0;0;0;0
9;10;10504;1.3281;0;1500;0;0;0;0;0;0;0
9.1;10;10504;1.3281;0;1500;0;0;0;0;0;0;0
9.2;10;10504;1.3281;0;1500;0;0;0;0;0;0;0
9.3;10;10504;1.3281;0;1500;0;0;0;0;0;0;0
9.4;10;10504;1.3281;0;1500;0;0;0;0;0;0;0
9.5;10;10504;1.3281;0;1500;0;0;0;0;0;0;0
9.6;10;10504;1.3281;0;1500;0;0;0;0;0;0;0
9.7;10;10504;1.3281;0;1500;0;0;0;0;0;0;0
9.8;10;10504;1.3281;0;1500;0;0;0;0;0;0;0
9.9;10;10504;1.3281;0;1500;0;0;0;0;0;0;0
10;10;10504;1.3281;0;1500;0;0;0;0;0;0;0
10.1;10;10504;1.3281;0;1500;0;0;0;0;0;0;0
10.2;10;10504;1.3281;0;1500;0;0;0;0;0;0;0
10.3;10;10504;1.3281;0;1500;0;0;0;0;0;0;0
10.4;10;10504;1.3281;0;1500;0;0;0;0;0;0;0
10.5;10;10504;1.3281;0;1500;0;0;0;0;0;0;0
10.6;10;10504;1.3281;0;1500;0;0;0;0;0;0;0
10.7;10;10504;1.3281;0;1500;0;0;0;0;0;0;0
10.8;10;10504;1.3281;0;1500;0;0;0;0;0;0;0
10.9;10;10504;1.3281;0;1500;0;0;0;0;0;0;0
11;10;10504;1.3281;0;1500;0;0;0;0;0;0;0
11.1;10;10504;1.3281;0;1500;0;0;0;0;0;0;0
11.2;10;10504;1.3281;0;1500;0;0;0;0;0;0;0
11.3;10;10504;1.3281;0;1500;0;0;0;0;0;0;0
11.4;10;10504;1.3281;0;1500;0;0;0;0;0;0;0
11.5;10;10504;1.3281;0;1500;0;0;0;0;0;0;0
11.6;10;10504;1.3281;0;1500;0;0;0;0;0;0;0
11.7;10;10504;1.3281;0;1500;0;0;0;0;0;0;0
11.8;10;10504;1.3281;0;1500;0;0;0;0;0;0;0
11.9;10;10504;1.3281;0;1500;0;0;0;0;0;0;0
12;10;10504;1.3281;0;1500;0;0;0;0;0;0;0
